              x              T
              0              0
           0.02    6.62915e-13
           0.04    2.13604e-12
           0.06    5.89992e-12
           0.08    1.55575e-11
            0.1    3.97915e-11
           0.12    9.90012e-11
           0.14    2.39786e-10
           0.16     5.6561e-10
           0.18    1.29978e-09
            0.2    2.91084e-09
           0.22    6.35483e-09
           0.24    1.35288e-08
           0.26     2.8094e-08
           0.28    5.69247e-08
            0.3    1.12576e-07
           0.32    2.17359e-07
           0.34    4.09844e-07
           0.36    7.54905e-07
           0.38    1.35869e-06
            0.4    2.39015e-06
           0.42    4.11077e-06
           0.44     6.9141e-06
           0.46    1.13757e-05
           0.48    1.83135e-05
            0.5    2.88554e-05
           0.52    4.45104e-05
           0.54    6.72342e-05
           0.56    9.94779e-05
           0.58    0.000144207
            0.6    0.000204869
           0.62    0.000285309
           0.64    0.000389595
           0.66    0.000521771
           0.68    0.000685532
            0.7    0.000883823
           0.72     0.00111842
           0.74     0.00138948
           0.76     0.00169519
           0.78     0.00203147
            0.8     0.00239186
           0.82     0.00276759
           0.84     0.00314785
           0.86      0.0035203
           0.88      0.0038717
            0.9     0.00418876
           0.92     0.00445895
           0.94     0.00467141
           0.96      0.0048176
           0.98     0.00489197
              1     0.00489222
           1.02     0.00481944
           1.04     0.00467793
           1.06     0.00447481
           1.08     0.00421944
            1.1     0.00392275
           1.12     0.00359646
           1.14     0.00325238
           1.16     0.00290176
           1.18     0.00255473
            1.2     0.00221995
           1.22     0.00190433
           1.24     0.00161299
           1.26     0.00134927
           1.28     0.00111487
            1.3    0.000910112
           1.32    0.000734162
           1.34    0.000585325
           1.36    0.000461307
           1.38     0.00035946
            1.4    0.000276984
           1.42    0.000211096
           1.44    0.000159148
           1.46    0.000118711
           1.48    8.76247e-05
            1.5     6.4014e-05
           1.52    4.62922e-05
           1.54    3.31432e-05
           1.56    2.34965e-05
           1.58    1.64968e-05
            1.6    1.14723e-05
           1.62    7.90355e-06
           1.64    5.39479e-06
           1.66    3.64897e-06
           1.68    2.44609e-06
            1.7    1.62533e-06
           1.72    1.07061e-06
           1.74    6.99207e-07
           1.76    4.52811e-07
           1.78    2.90815e-07
            1.8    1.85246e-07
           1.82    1.17037e-07
           1.84    7.33263e-08
           1.86     4.5516e-08
           1.88    2.79036e-08
            1.9    1.67167e-08
           1.92    9.43628e-09
           1.94    4.31262e-09
           1.96              0
           1.98              0
